zip,city,loc/0,loc/1,pop,state
1001,AGAWAM,-72.622739,42.070206,15338,MA
1002,CUSHMAN,-72.51565,42.377017,36963,MA
1005,BARRE,-72.108354,42.409698,4546,MA
1007,BELCHERTOWN,-72.410953,42.275103,10579,MA
1008,BLANDFORD,-72.936114,42.182949,1240,MA
1010,BRIMFIELD,-72.188455,42.116543,3706,MA
1011,CHESTER,-72.988761,42.279421,1688,MA
1012,CHESTERFIELD,-72.833309,42.38167,177,MA
1013,CHICOPEE,-72.607962,42.162046,23396,MA
1020,CHICOPEE,-72.576142,42.176443,31495,MA
1022,WESTOVER AFB,-72.558657,42.196672,1764,MA
1026,CUMMINGTON,-72.905767,42.435296,1484,MA
1027,MOUNT TOM,-72.679921,42.264319,16864,MA
1028,EAST LONGMEADOW,-72.505565,42.067203,13367,MA
1030,FEEDING HILLS,-72.675077,42.07182,11985,MA
1031,GILBERTVILLE,-72.198585,42.332194,2385,MA
1032,GOSHEN,-72.844092,42.466234,122,MA
1033,GRANBY,-72.520001,42.255704,5526,MA
1034,TOLLAND,-72.908793,42.070234,1652,MA
1035,HADLEY,-72.571499,42.36062,4231,MA
1036,HAMPDEN,-72.431823,42.064756,4709,MA
1038,HATFIELD,-72.616735,42.38439,3184,MA
1039,HAYDENVILLE,-72.703178,42.381799,1387,MA
1040,HOLYOKE,-72.626193,42.202007,43704,MA
1050,HUNTINGTON,-72.873341,42.265301,2084,MA
1053,LEEDS,-72.703403,42.354292,1350,MA
1054,LEVERETT,-72.499334,42.46823,1748,MA
1056,LUDLOW,-72.471012,42.172823,18820,MA
1057,MONSON,-72.319634,42.101017,8194,MA
1060,FLORENCE,-72.654245,42.324662,27939,MA
1068,OAKHAM,-72.051265,42.348033,1503,MA
1069,PALMER,-72.328785,42.176233,9778,MA
1070,PLAINFIELD,-72.918289,42.514393,571,MA
1071,RUSSELL,-72.840343,42.147063,608,MA
1072,SHUTESBURY,-72.421342,42.481968,1533,MA
1073,SOUTHAMPTON,-72.719381,42.224697,4478,MA
1075,SOUTH HADLEY,-72.581137,42.237537,16699,MA
1077,SOUTHWICK,-72.770588,42.051099,7667,MA
1080,THREE RIVERS,-72.362352,42.181894,2425,MA
1081,WALES,-72.204592,42.062734,1732,MA
1082,WARE,-72.258285,42.261831,9808,MA
1085,MONTGOMERY,-72.754318,42.129484,40117,MA
1089,WEST SPRINGFIELD,-72.641109,42.115066,27537,MA
1092,WEST WARREN,-72.203639,42.20734,4441,MA
1095,WILBRAHAM,-72.446415,42.124506,12635,MA
1096,WILLIAMSBURG,-72.777989,42.408522,2295,MA
